EntryName	Type	DisplayName_en	Description_en	DisplayName_ru	Description_ru
BANE	StatusData	Bane	Has a 1d4 penalty to &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; and &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;.	Порча	Штраф 1d4 к &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt; и &lt;LSTag Tooltip="SavingThrow"&gt;испытаниям&lt;/LSTag&gt;.
BARBED_ARROW	StatusData	Ruptured	Take [1] damage when moving. Each time you move, reduce the condition duration by [2].	Рваная рана	Получите [1] урона при движении. Каждый раз, когда вы перемещаетесь, длительность эффекта уменьшается на [2].
BARBED_ARROW_DAMAGE	StatusData	%%% EMPTY			
BARDIC_INSPIRATION	StatusData	Bardic Inspiration	Can use Bardic Inspiration to add a +[1] bonus to the next &lt;LSTag Tooltip="AttackRoll"&gt;Attack Roll&lt;/LSTag&gt;, &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Check&lt;/LSTag&gt;, or &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throw&lt;/LSTag&gt;.	Бардовское вдохновение	Персонаж может использовать бардовское вдохновение, чтобы добавить бонус +[1] к следующему &lt;LSTag Tooltip="AttackRoll"&gt;броску атаки&lt;/LSTag&gt;, &lt;LSTag Tooltip="AbilityCheck"&gt;проверке характеристики&lt;/LSTag&gt; или &lt;LSTag Tooltip="SavingThrow"&gt;испытанию&lt;/LSTag&gt;.
BARDIC_INSPIRATION_COMBAT	StatusData	Combat Inspiration	Can use their Bardic Inspiration to add a +[1] bonus to their next &lt;LSTag Tooltip="AttackRoll"&gt;Attack Roll&lt;/LSTag&gt;, &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Check&lt;/LSTag&gt;, or &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throw&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;They can also choose a +[1] bonus to the damage their next weapon attack deals, or to their &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; for one attack.	Боевое вдохновение	Персонаж может использовать свое бардовское вдохновение, чтобы добавить бонус +[1] к своему следующему &lt;LSTag Tooltip="AttackRoll"&gt;броску атаки&lt;/LSTag&gt;, &lt;LSTag Tooltip="AbilityCheck"&gt;проверке характеристики&lt;/LSTag&gt; или &lt;LSTag Tooltip="SavingThrow"&gt;испытанию&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;Он также может выбрать бонус в виде +[1] к урону следующей атакой оружием либо своему &lt;LSTag Tooltip="ArmourClass"&gt;классу брони&lt;/LSTag&gt; сроком на одну атаку.
BARKSKIN	StatusData	Barkskin	&lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; increased to 16.	Дубовая кожа	&lt;LSTag Tooltip="ArmourClass"&gt;Класс брони&lt;/LSTag&gt; повышен до 16.
BEACON_OF_HOPE	StatusData	Beacon of Hope	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Wisdom &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt; and Death Saving Throws, and regains the maximum &lt;LSTag Tooltip="HitPoints"&gt;hit points&lt;/LSTag&gt; possible when healed.	Светоч надежды	Получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; мудрости и испытаниях против смерти, а при исцелении восстанавливает максимально возможное число &lt;LSTag Tooltip="HitPoints"&gt;ОЗ&lt;/LSTag&gt;.
BEARS_ENDURANCE	StatusData	Bear's Endurance	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Constitution &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt; and gains [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit points&lt;/LSTag&gt;.	Медвежья выносливость	Получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; выносливости и [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;ОЗ (временно)&lt;/LSTag&gt;.
BIBBERBANG_FUMES	StatusData	Noxious Fumes	Affected entity takes [1] each turn. It must succeed a Constitution &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throw&lt;/LSTag&gt; or take an additional [2], taking half damage in a success.	Ядовитое облако	Существо получает [1] каждый ход. Оно должно пройти &lt;LSTag Tooltip="SavingThrow"&gt;испытание&lt;/LSTag&gt; выносливости, или дополнительно получит [2]. При успешном испытании оно получает половину этого урона.
BLADE_WARD	StatusData	Blade Ward	Has &lt;LSTag Tooltip="Resistant"&gt;Resistance&lt;/LSTag&gt; against Bludgeoning, Piercing, and Slashing damage.	Оберег от оружия	Существо имеет &lt;LSTag Tooltip="Resistant"&gt;устойчивость&lt;/LSTag&gt; к дробящему, колющему и режущему урону.
BLEEDING	StatusData	Bleeding	Takes [1] at the start of each turn and has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Constitution &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;Removed by healing.	Кровотечение	Получает [1] в начале каждого хода, а также получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; выносливости. &lt;br&gt;&lt;br&gt;Снимается исцелением.
BLESS	StatusData	Bless	Gains a +1d4 bonus to &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; and &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;.	Благословение	Бонус 1d4 к &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt; и &lt;LSTag Tooltip="SavingThrow"&gt;испытаниям&lt;/LSTag&gt;.
BLESSING_OF_THE_TRICKSTER	StatusData	Blessing of the Trickster	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Stealth &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Благословение трикстера	Получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; скрытности.
BLINDED	StatusData	Blinded	Has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;. Range of attacks and spells reduced to [1]. &lt;br&gt;&lt;br&gt;Attack Rolls against Blinded creatures have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;.	Слепота	Дает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt;. Радиус атаки и заклинаний снижается до [1].&lt;br&gt;&lt;br&gt;Броски атаки против ослепленных существ получают &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;.
BLINDNESS	StatusData	Blindness		Слепота	
BLOCK_LEVELUP	StatusData	%%% EMPTY			
BLOODLUST_REDCAP	StatusData	Bloodlust	Creature can attack three times. It regains [1] if it lands a killing blow.	Кровожадность	Существо может атаковать трижды. Нанеся смертельный удар, оно восстанавливает [1].
BLOOD_COVERED	StatusData	%%% EMPTY			
BLUR	StatusData	Blurred	Attackers have &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; against this creature, unless they do not rely on sight or can see through illusions.	Расплывчатость	Атакующие получают &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt; против этого существа, если они полагаются на зрение и не могут видеть сквозь иллюзии.
BRANDING_SMITE	StatusData	Branding Smite	The affected entity sheds light in a [1] radius, preventing it from becoming &lt;LSTag Type="Status" Tooltip="INVISIBLE"&gt;Invisible&lt;/LSTag&gt;.	Клеймящая кара	Существо испускает свет в радиусе [1], а потому не может стать &lt;LSTag Type="Status" Tooltip="INVISIBLE"&gt;невидимым&lt;/LSTag&gt;.
BULLS_STRENGTH	StatusData	Bull's Strength	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Strength &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;. &lt;LSTag Tooltip="CarryWeight"&gt;Carrying capacity&lt;/LSTag&gt; doubled.	Бычья сила	Имеет &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; силы. &lt;LSTag Tooltip="CarryWeight"&gt;Грузоподъемность&lt;/LSTag&gt; увеличивается вдвое.
BURNING	StatusData	Burning	Takes [1] per turn.	Горение	Получает [1] за ход.
BURNING_LAVA	StatusData	Melting		Плавление	
CALLING_FOR_HELP	StatusData	Calling Reinforcements	This creature's allies will appear next turn to defend it. 	Призыв подкрепления	На следующем ходу появятся союзники этого существа, чтобы защитить его.
CALLING_FOR_HELP_HOOKHORROR	StatusData	Calling Reinforcements	This creature's allies will appear next turn to defend it. 	Призыв подкрепления	На следующем ходу появятся союзники этого существа, чтобы защитить его.
CALLING_FOR_HELP_SPAWNALLIES	StatusData	Reinforcements	The creature's allies have arrived.	Подкрепление	Прибыли союзники существа.
CALL_LIGHTNING_TECHNICAL	StatusData	Call Lightning	Can &lt;LSTag Type="Spell" Tooltip="Target_CallLightning_LightningBolt"&gt;Call Lightning&lt;/LSTag&gt; without expending a &lt;LSTag Tooltip="SpellSlot"&gt;spell slot&lt;/LSTag&gt;.	Вызов молний	Существо может &lt;LSTag Type="Spell" Tooltip="Target_CallLightning_LightningBolt"&gt;вызывать молнию&lt;/LSTag&gt;, не тратя &lt;LSTag Tooltip="SpellSlot"&gt;ячейку заклинания&lt;/LSTag&gt;.
CALM_EMOTIONS	StatusData	Calmed	Can't be &lt;LSTag Type="Status" Tooltip="CHARMED"&gt;Charmed&lt;/LSTag&gt; or &lt;LSTag Type="Status" Tooltip="FRIGHTENED"&gt;Frightened&lt;/LSTag&gt;, and can't &lt;LSTag Type="Spell" Tooltip="Shout_Rage"&gt;Rage&lt;/LSTag&gt;.	Спокойствие	Существо не подвержено действию &lt;LSTag Type="Status" Tooltip="CHARMED"&gt;обворожения&lt;/LSTag&gt; или &lt;LSTag Type="Status" Tooltip="FRIGHTENED"&gt;испуга&lt;/LSTag&gt;. Не может впадать в &lt;LSTag Type="Spell" Tooltip="Shout_Rage"&gt;ярость&lt;/LSTag&gt;.
CAMP_DAISY_EXHAUSTED	StatusData	Worn Out	Feeling utterly exhausted. It &lt;i&gt;could&lt;/i&gt; just be the long day...	Упадок сил	Вы чувствуете себя совершенно без сил. Хотя, &lt;i&gt;возможно&lt;/i&gt;, у вас просто выдался слишком насыщенный день...
CAMP_DAISY_SICK	StatusData	Sickly	Feeling extremely off - suspiciously so.	Плохое самочувствие	Вы чувствуете себя из рук вон плохо. Прямо даже подозрительно.
CAMP_VOLO_ERSATZEYE	StatusData	%%% EMPTY		ПУСТО	
CAMP_VOLO_LOBOTOMY	StatusData	Volo's Experimental Treatment	Eye socket damaged by Volo's 'experiment'. -1 to &lt;LSTag Tooltip="Intelligence"&gt;Intelligence&lt;/LSTag&gt;, &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; to Perception &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt; and cannot make &lt;LSTag Tooltip="CriticalHit"&gt;Critical Hit&lt;/LSTag&gt;.	Экспериментальная процедура Воло	Глазница повреждена вследствие «эксперимента» Воло. -1 к &lt;LSTag Tooltip="Intelligence"&gt;интеллекту&lt;/LSTag&gt;, &lt;LSTag Tooltip="Disadvantage"&gt;помеха&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; внимания. Не может наносить &lt;LSTag Tooltip="CriticalHit"&gt;критические удары&lt;/LSTag&gt;.
CAMP_VOLO_NEEDLE	StatusData	Bleeding Eye	Your eye stings from Volo's 'experiment'. &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Perception &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Кровавый глаз	Ваше зрение пострадало вследствие "эксперимента" Воло. &lt;LSTag Tooltip="Disadvantage"&gt;Помеха&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; внимания.
CATS_GRACE	StatusData	Cat's Grace	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Dexterity &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt; and only takes half damage from falling.	Кошачья грация	Получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; ловкости и избегает половины урона от падения с высоты.
CAUSTIC_BRINE	StatusData	Caustic Brine	Covered in caustic brine. Takes [1] per turn.	Едкая жидкость	Покрыт раствором едкой жидкости. Получает [1] за ход.
CHARMED	StatusData	Charmed	Can't attack spellcaster. Spellcaster has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Charisma &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt; in dialogue.	Обворожение	Не может атаковать заклинателя. Заклинатель получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при всех &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; харизмы в диалогах.
CHARM_ANIMALS_AND_PLANTS	StatusData	Charmed	Friendly to the charmer and its allies. Taking damage ends this condition.	Обворожение	Существо дружелюбно к тому, кто обворожил их, и его союзникам. При получении урона эффект снимается.
CHA_BANDIT_ZEROSPEED	StatusData	%%% EMPTY			
CHA_LAEZELRECRUIT_IGNOREFALLDAMAGE	StatusData	%%% EMPTY		ПУСТО	
CHA_OUTSIDE_ILLUMINATED	StatusData	%%% EMPTY		ПУСТО	
CHEST_TRAUMA	StatusData	Chest Trauma	Has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Constitution &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt; and has one fewer action.&lt;br&gt;&lt;br&gt;Removed by healing.	Ранение в грудь	Получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; выносливости и имеет на одно действие меньше.&lt;br&gt;&lt;br&gt;Снимается исцелением.
CHILLED	StatusData	Chilled	Affected entity is &lt;LSTag Tooltip="Vulnerable"&gt;Vulnerable&lt;/LSTag&gt; to Cold damage and &lt;LSTag Tooltip="Resistant"&gt;Resistant&lt;/LSTag&gt; to Fire damage.	Охлаждение	Существо &lt;LSTag Tooltip="Vulnerable"&gt;уязвимо&lt;/LSTag&gt; к урону холодом и обладает &lt;LSTag Tooltip="Resistant"&gt;устойчивостью&lt;/LSTag&gt; к урону огнем.
CHILL_TOUCH	StatusData	Bone Chilled	Cannot regain &lt;LSTag Tooltip="HitPoints"&gt;hit points&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;If Undead, has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;.	Пробирающий до костей холод	Не может восстанавливать &lt;LSTag Tooltip="HitPoints"&gt;очки здоровья&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;Если является нежитью, то получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt;.
CLICK_HEELS	StatusData	Click Heels	&lt;LSTag Tooltip="MovementSpeed"&gt;Movement speed&lt;/LSTag&gt; is doubled. Enemies have &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="OpportunityAttack"&gt;Opportunity Attacks&lt;/LSTag&gt; against them.	Щелкнуть каблуками	&lt;LSTag Tooltip="MovementSpeed"&gt;Скорость перемещения&lt;/LSTag&gt; существа возрастает вдвое. Враги будут получать &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="OpportunityAttack"&gt;внеочередных атаках&lt;/LSTag&gt; против него.
CLOUD_OF_DAGGERS	StatusData	Cloud of Daggers	Takes [1] per turn.	Облако кинжалов	Получает [1] за ход.
CLOUD_OF_DAGGERS_AURA	StatusData	Cloud of Daggers	Spinning daggers fill the air. Anyone inside the whirlwind takes [1] each turn.	Облако кинжалов	Воздух заполняет облако вращающихся кинжалов. Все существа внутри облака каждый ход получают [1].
COLOR_SPRAY	StatusData	Colour Spray		Цветные брызги	
COMMAND_APPROACH	StatusData	Command: Approach	Affected entity has to move towards the spellcaster using the shortest route possible and can't take any other actions or bonus actions.	Приказ: Подойти	Существо вынуждено кратчайшим путем двигаться в сторону заклинателя и не может предпринимать какие-либо иные или бонусные действия.
COMMAND_FLEE	StatusData	Command: Flee	Affected entity has to move as far away from the spellcaster by the fastest available means and can't do anything else.	Приказ: Бежать	Существо должно попытаться кратчайшим путем удалиться на максимальное расстояние от заклинателя и не может предпринимать никаких других действий.
COMMAND_GROVEL	StatusData	Command: Grovel	Can't move or take actions, bonus actions, or reactions, and has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Strength and Dexterity &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;. &lt;br&gt;&lt;br&gt;Attacks against a Prone creature have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; if they're made within [1] of the creature.&lt;br&gt;&lt;br&gt;A Prone creature must spend half its &lt;LSTag Tooltip="MovementSpeed"&gt;movement speed&lt;/LSTag&gt; to stand up.	Приказ: Пасть ниц	Существо лежит плашмя и не может перемещаться, а также предпринимать обычные, бонусные или ответные действия. Получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; силы и ловкости. &lt;br&gt;&lt;br&gt;Атаки противника, находящегося не дальше [1] от распластанного существа, получают &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;.&lt;br&gt;&lt;br&gt;Прежде чем переместиться или что-либо сделать, существо должно потратить половину своей &lt;LSTag Tooltip="MovementSpeed"&gt;скорости перемещения&lt;/LSTag&gt;, чтобы подняться.
COMMAND_HALT	StatusData	Command: Halt	Cannot move or take actions, bonus actions, or reactions.	Приказ: Остановиться	Не может перемещаться, а также предпринимать обычные, бонусные или ответные действия.
COMPELLED_DUEL	StatusData	Compelled Duel	Cannot attack creatures other than the spellcaster.	Вызов на дуэль	Получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt; против кого угодно, кроме заклинателя.
COMPREHEND_LANGUAGES	StatusData	Comprehend Languages	Understand the literal meaning of any spoken or written language.	Понимание языков	Вы понимаете буквальное значение произнесенных или написанных слов на любом языке.
CONFUSION_RAY	StatusData	Befuddled	Affected entity can't control its actions and wanders around without direction.	Одурманивание	Существо не может контролировать свои действия и бесцельно перемещается туда-сюда.
CONTROL_UNDEAD	StatusData	Controlled	This undead is under the control of a paladin. It will follow the paladin and attack their enemies.	Под контролем	Эта нежить находится под властью паладина. Она последует за паладином и будет атаковать его врагов.
CONTROL_UNDEAD_OWNER	StatusData	Controlling Undead	This paladin has control over an undead creature. The creature will follow them and attack their enemies.	Власть над нежитью	Этот паладин получил власть над созданием-нежитью. Оно последует за ним и будет атаковать его врагов.
CRAB_PINCHED	StatusData	Pinched	Takes [1] at the beginning of each turn and &lt;LSTag Tooltip="MovementSpeed"&gt;movement speed&lt;/LSTag&gt; is reduced by [2].	Захват клешнями	Получает [1] в начале каждого хода, а &lt;LSTag Tooltip="MovementSpeed"&gt;скорость перемещения&lt;/LSTag&gt; снижается на [2].
CRAWLING_GNAW_SWITCH	StatusData	Crawling Gnaw	Infected with zombie mucus. &lt;br&gt;&lt;br&gt;If the affected entity dies before the infection wears off, it will temporarily rise again as a &lt;LSTag Type="Status" Tooltip="ZOMBIE_DECAY"&gt;Newborn Zombie&lt;/LSTag&gt;.	Ползучий поед	На существо попала заразная слюна зомби. &lt;br&gt;&lt;br&gt;Если оно умрет раньше, чем закончится действие заразы, то на время восстанет в качестве &lt;LSTag Type="Status" Tooltip="ZOMBIE_DECAY"&gt;новорожденного зомби&lt;/LSTag&gt;.
CRAWLING_GNAW_TECHNICAL	StatusData	%%% EMPTY			
